GO:0004177,Molecular Function,aminopeptidase activity,evm.model.tig082700000016.101
GO:0004315,Molecular Function,3-oxoacyl-[acyl-carrier-protein] synthase activity,evm.model.tig082700000223.111
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000223.111
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000223.111
GO:0016747,Molecular Function,"acyltransferase activity, transferring groups other than amino-acyl groups",evm.model.tig082700000223.111
GO:0043531,Molecular Function,ADP binding,evm.model.tig082700000223.113
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.116
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000223.116
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000223.116
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.116
GO:0004809,Molecular Function,tRNA (guanine-N2-)-methyltransferase activity,evm.model.tig082700000223.119
GO:0008168,Molecular Function,methyltransferase activity,evm.model.tig082700000223.119
GO:0008276,Molecular Function,protein methyltransferase activity,evm.model.tig082700000223.119
GO:0016435,Molecular Function,rRNA (guanine) methyltransferase activity,evm.model.tig082700000223.119
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000223.119
GO:0046982,Molecular Function,protein heterodimerization activity,evm.model.tig082700000223.119
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.120
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.120
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000223.120
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.120
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.120
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000223.121
GO:0003735,Molecular Function,structural constituent of ribosome,evm.model.tig082700000223.121
GO:0019843,Molecular Function,rRNA binding,evm.model.tig082700000223.121
GO:0004888,Molecular Function,transmembrane signaling receptor activity,evm.model.tig082700000223.122
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.123
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.123
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000223.123
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.123
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.123
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000223.123
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.124
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.124
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.124
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.13
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.14
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.14
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.14
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000223.16
GO:0004722,Molecular Function,protein serine/threonine phosphatase activity,evm.model.tig082700000223.16
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.16
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000223.16
GO:0017018,Molecular Function,myosin phosphatase activity,evm.model.tig082700000223.16
GO:0043169,Molecular Function,cation binding,evm.model.tig082700000223.16
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000223.16
GO:0051082,Molecular Function,unfolded protein binding,evm.model.tig082700000223.17
GO:0008289,Molecular Function,lipid binding,evm.model.tig082700000223.19
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.2
GO:0005319,Molecular Function,lipid transporter activity,evm.model.tig082700000223.2
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.2
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.2
GO:0042626,Molecular Function,ATPase-coupled transmembrane transporter activity,evm.model.tig082700000223.2
GO:0140359,Molecular Function,ABC-type transporter activity,evm.model.tig082700000223.2
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000223.20
GO:0003735,Molecular Function,structural constituent of ribosome,evm.model.tig082700000223.20
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000223.23
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000223.23
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000223.23
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000223.23
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000223.25
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000223.26
GO:0004650,Molecular Function,polygalacturonase activity,evm.model.tig082700000223.27
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.27
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000223.27
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000223.27
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.28
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000223.28
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000223.28
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.28
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.3
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.3
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.3
GO:0140359,Molecular Function,ABC-type transporter activity,evm.model.tig082700000223.3
GO:0004930,Molecular Function,G protein-coupled receptor activity,evm.model.tig082700000223.31
GO:0016907,Molecular Function,G protein-coupled acetylcholine receptor activity,evm.model.tig082700000223.31
GO:0004347,Molecular Function,glucose-6-phosphate isomerase activity,evm.model.tig082700000223.36
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000223.36
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000223.4
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000223.4
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.40
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.40
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.40
GO:0004601,Molecular Function,peroxidase activity,evm.model.tig082700000223.5
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000223.53
GO:0005262,Molecular Function,calcium channel activity,evm.model.tig082700000223.53
GO:0005484,Molecular Function,SNAP receptor activity,evm.model.tig082700000223.55
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.57
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.57
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.57
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.58
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.58
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.58
GO:0004386,Molecular Function,helicase activity,evm.model.tig082700000223.6
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000223.6
GO:0016757,Molecular Function,glycosyltransferase activity,evm.model.tig082700000223.6
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.61
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000223.61
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000223.61
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.62
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000223.62
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000223.62
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.63
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000223.63
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000223.63
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.64
GO:0004365,Molecular Function,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,evm.model.tig082700000223.64
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000223.64
GO:0016620,Molecular Function,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",evm.model.tig082700000223.64
GO:0050661,Molecular Function,NADP binding,evm.model.tig082700000223.64
GO:0051287,Molecular Function,NAD binding,evm.model.tig082700000223.64
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000223.65
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.66
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.66
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000223.66
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.66
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.66
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000223.67
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000223.67
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.68
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.68
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.68
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.69
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.69
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000223.69
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.69
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.69
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000223.69
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.7
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.7
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.7
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000223.7
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000223.7
GO:0051536,Molecular Function,iron-sulfur cluster binding,evm.model.tig082700000223.7
GO:0051539,Molecular Function,"4 iron, 4 sulfur cluster binding",evm.model.tig082700000223.7
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000223.72
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000223.72
GO:0003682,Molecular Function,chromatin binding,evm.model.tig082700000223.77
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.78
GO:0004386,Molecular Function,helicase activity,evm.model.tig082700000223.78
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.78
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.78
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000223.78
GO:0042393,Molecular Function,histone binding,evm.model.tig082700000223.78
GO:0140658,Molecular Function,ATP-dependent chromatin remodeler activity,evm.model.tig082700000223.78
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000223.79
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000223.81
GO:0004803,Molecular Function,transposase activity,evm.model.tig082700000223.81
GO:0042393,Molecular Function,histone binding,evm.model.tig082700000223.81
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000223.83
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000223.83
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000223.84
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000223.85
GO:0003743,Molecular Function,translation initiation factor activity,evm.model.tig082700000223.85
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000223.85
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000223.85
GO:0004694,Molecular Function,eukaryotic translation initiation factor 2alpha kinase activity,evm.model.tig082700000223.85
GO:0004713,Molecular Function,protein tyrosine kinase activity,evm.model.tig082700000223.85
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000223.85
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000223.85
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000223.9
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000223.9
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000223.91
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000223.91
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000223.93
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000223.93
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000223.93
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000223.95
GO:0008800,Molecular Function,beta-lactamase activity,evm.model.tig082700000223.99
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000223.99
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.1
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.1
GO:0008569,Molecular Function,minus-end-directed microtubule motor activity,evm.model.tig082700000225.1
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.1
GO:0045505,Molecular Function,dynein intermediate chain binding,evm.model.tig082700000225.1
GO:0051959,Molecular Function,dynein light intermediate chain binding,evm.model.tig082700000225.1
GO:0005471,Molecular Function,ATP:ADP antiporter activity,evm.model.tig082700000225.10
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000225.10
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.10
GO:0000155,Molecular Function,phosphorelay sensor kinase activity,evm.model.tig082700000225.17
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.17
GO:0004673,Molecular Function,protein histidine kinase activity,evm.model.tig082700000225.17
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.17
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.17
GO:0016772,Molecular Function,"transferase activity, transferring phosphorus-containing groups",evm.model.tig082700000225.17
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.19
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.19
GO:0008289,Molecular Function,lipid binding,evm.model.tig082700000225.19
GO:0004407,Molecular Function,histone deacetylase activity,evm.model.tig082700000225.20
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.20
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.20
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000225.22
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000225.23
GO:0004722,Molecular Function,protein serine/threonine phosphatase activity,evm.model.tig082700000225.23
GO:0004725,Molecular Function,protein tyrosine phosphatase activity,evm.model.tig082700000225.23
GO:0005515,Molecular Function,protein binding,evm.model.tig082700000225.23
GO:0005516,Molecular Function,calmodulin binding,evm.model.tig082700000225.23
GO:0008138,Molecular Function,protein tyrosine/serine/threonine phosphatase activity,evm.model.tig082700000225.23
GO:0008330,Molecular Function,protein tyrosine/threonine phosphatase activity,evm.model.tig082700000225.23
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.23
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000225.23
GO:0017017,Molecular Function,MAP kinase tyrosine/serine/threonine phosphatase activity,evm.model.tig082700000225.23
GO:0017018,Molecular Function,myosin phosphatase activity,evm.model.tig082700000225.23
GO:0004842,Molecular Function,ubiquitin-protein transferase activity,evm.model.tig082700000225.26
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.29
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.29
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000225.29
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.29
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.29
GO:0003980,Molecular Function,UDP-glucose:glycoprotein glucosyltransferase activity,evm.model.tig082700000225.30
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000225.30
GO:0004568,Molecular Function,chitinase activity,evm.model.tig082700000225.30
GO:0008061,Molecular Function,chitin binding,evm.model.tig082700000225.30
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000225.30
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.30
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000225.30
GO:0030248,Molecular Function,cellulose binding,evm.model.tig082700000225.30
GO:0004512,Molecular Function,inositol-3-phosphate synthase activity,evm.model.tig082700000225.31
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000225.31
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.33
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.33
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000225.33
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000225.33
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.33
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.33
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.33
GO:0004596,Molecular Function,peptide alpha-N-acetyltransferase activity,evm.model.tig082700000225.34
GO:0008080,Molecular Function,N-acetyltransferase activity,evm.model.tig082700000225.34
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000225.34
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000225.34
GO:1990189,Molecular Function,peptide-serine-N-acetyltransferase activity,evm.model.tig082700000225.34
GO:1990190,Molecular Function,peptide-glutamate-N-acetyltransferase activity,evm.model.tig082700000225.34
GO:0008081,Molecular Function,phosphoric diester hydrolase activity,evm.model.tig082700000225.35
GO:0008168,Molecular Function,methyltransferase activity,evm.model.tig082700000225.36
GO:0008641,Molecular Function,ubiquitin-like modifier activating enzyme activity,evm.model.tig082700000225.36
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000225.36
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000225.37
GO:0016409,Molecular Function,palmitoyltransferase activity,evm.model.tig082700000225.37
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000225.37
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000225.37
GO:0019706,Molecular Function,protein-cysteine S-palmitoyltransferase activity,evm.model.tig082700000225.37
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000225.39
GO:0003697,Molecular Function,single-stranded DNA binding,evm.model.tig082700000225.39
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000225.39
GO:0004518,Molecular Function,nuclease activity,evm.model.tig082700000225.39
GO:0004519,Molecular Function,endonuclease activity,evm.model.tig082700000225.39
GO:0004520,Molecular Function,endodeoxyribonuclease activity,evm.model.tig082700000225.39
GO:0004527,Molecular Function,exonuclease activity,evm.model.tig082700000225.39
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.39
GO:0016788,Molecular Function,"hydrolase activity, acting on ester bonds",evm.model.tig082700000225.39
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.39
GO:0003729,Molecular Function,mRNA binding,evm.model.tig082700000225.4
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.4
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000225.40
GO:0004568,Molecular Function,chitinase activity,evm.model.tig082700000225.40
GO:0008061,Molecular Function,chitin binding,evm.model.tig082700000225.40
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.40
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000225.40
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000225.40
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000225.44
GO:0008138,Molecular Function,protein tyrosine/serine/threonine phosphatase activity,evm.model.tig082700000225.44
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.44
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000225.44
GO:0000150,Molecular Function,DNA strand exchange activity,evm.model.tig082700000225.45
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.45
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000225.45
GO:0003690,Molecular Function,double-stranded DNA binding,evm.model.tig082700000225.45
GO:0003697,Molecular Function,single-stranded DNA binding,evm.model.tig082700000225.45
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.45
GO:0008094,Molecular Function,"ATP-dependent activity, acting on DNA",evm.model.tig082700000225.45
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.45
GO:0000150,Molecular Function,DNA strand exchange activity,evm.model.tig082700000225.47
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.47
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000225.47
GO:0003690,Molecular Function,double-stranded DNA binding,evm.model.tig082700000225.47
GO:0003697,Molecular Function,single-stranded DNA binding,evm.model.tig082700000225.47
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.47
GO:0008094,Molecular Function,"ATP-dependent activity, acting on DNA",evm.model.tig082700000225.47
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.47
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.48
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.48
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000225.48
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.48
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000225.48
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000225.48
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.48
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.48
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000225.48
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000225.48
GO:0004609,Molecular Function,phosphatidylserine decarboxylase activity,evm.model.tig082700000225.49
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000225.49
GO:0016831,Molecular Function,carboxy-lyase activity,evm.model.tig082700000225.49
GO:0016874,Molecular Function,ligase activity,evm.model.tig082700000225.5
GO:0016881,Molecular Function,acid-amino acid ligase activity,evm.model.tig082700000225.5
GO:0022857,Molecular Function,transmembrane transporter activity,evm.model.tig082700000225.5
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.50
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.50
GO:0003735,Molecular Function,structural constituent of ribosome,evm.model.tig082700000225.51
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.52
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.52
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.53
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.53
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000225.55
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.55
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000225.55
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.55
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.55
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000225.57
GO:0003860,Molecular Function,3-hydroxyisobutyryl-CoA hydrolase activity,evm.model.tig082700000225.57
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.57
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000225.57
GO:0003860,Molecular Function,3-hydroxyisobutyryl-CoA hydrolase activity,evm.model.tig082700000225.58
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.58
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000225.58
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000225.59
GO:0003860,Molecular Function,3-hydroxyisobutyryl-CoA hydrolase activity,evm.model.tig082700000225.59
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.59
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000225.6
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000225.6
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.61
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000225.61
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000225.63
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000225.63
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.63
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000225.63
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.65
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.65
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.65
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000225.69
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000225.7
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000225.7
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000225.7
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000225.72
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000225.72
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000225.72
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.72
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000225.75
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000225.75
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.75
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000225.75
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000225.77
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000225.77
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.77
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000225.78
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000225.78
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000225.78
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000225.8
GO:0004722,Molecular Function,protein serine/threonine phosphatase activity,evm.model.tig082700000225.8
GO:0004725,Molecular Function,protein tyrosine phosphatase activity,evm.model.tig082700000225.8
GO:0008138,Molecular Function,protein tyrosine/serine/threonine phosphatase activity,evm.model.tig082700000225.8
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000225.8
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000225.8
GO:0017018,Molecular Function,myosin phosphatase activity,evm.model.tig082700000225.8
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000225.80
GO:0005537,Molecular Function,mannose binding,evm.model.tig082700000225.82
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000225.82
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000225.84
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000225.86
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000225.87
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000225.88
GO:0003700,Molecular Function,DNA-binding transcription factor activity,evm.model.tig082700000225.88
GO:0043565,Molecular Function,sequence-specific DNA binding,evm.model.tig082700000225.88
GO:0008168,Molecular Function,methyltransferase activity,evm.model.tig082700000225.90
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000225.90
GO:0035241,Molecular Function,protein-arginine omega-N monomethyltransferase activity,evm.model.tig082700000225.90
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000227.1
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000227.1
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000227.1
GO:0005337,Molecular Function,nucleoside transmembrane transporter activity,evm.model.tig082700000227.108
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000227.116
